pdf_name,label_key,year,type,forecast_year,horizon,pred_value,realized_value,error
spa_2010_juni_spa,thjodarutgjold alls,2015,extrapolation,2010,5,3.6,6.0,-2.4
spa_2010_juni_spa,utflutningur voru og thjonustu,2010,forecast,2010,0,0.7,0.4,0.29999999999999993
spa_2010_juni_spa,utflutningur voru og thjonustu,2011,extrapolation,2010,1,1.8,4.1,-2.3
spa_2010_juni_spa,utflutningur voru og thjonustu,2012,extrapolation,2010,2,2.4,3.8,-1.4
spa_2010_juni_spa,utflutningur voru og thjonustu,2013,extrapolation,2010,3,3.6,6.9,-3.3000000000000003
spa_2010_juni_spa,utflutningur voru og thjonustu,2014,extrapolation,2010,4,3.2,3.1,0.10000000000000009
spa_2010_juni_spa,utflutningur voru og thjonustu,2015,extrapolation,2010,5,3.0,9.2,-6.199999999999999
spa_2010_juni_spa,innflutningur voru og thjonustu,2010,forecast,2010,0,0.6,4.0,-3.4
spa_2010_juni_spa,innflutningur voru og thjonustu,2011,extrapolation,2010,1,3.2,6.8,-3.5999999999999996
spa_2010_juni_spa,innflutningur voru og thjonustu,2012,extrapolation,2010,2,5.5,4.7,0.7999999999999998
spa_2010_juni_spa,innflutningur voru og thjonustu,2013,extrapolation,2010,3,3.2,0.4,2.8000000000000003
spa_2010_juni_spa,innflutningur voru og thjonustu,2014,extrapolation,2010,4,3.2,9.8,-6.6000000000000005
spa_2010_juni_spa,innflutningur voru og thjonustu,2015,extrapolation,2010,5,3.9,13.5,-9.6
