horizon,n,mae,rmse,bias,p50,p95
0,755,2.8773205298013242,5.276308846881702,-0.23889668874172185,1.2999999999999998,13.1
1,689,5.223910014513788,9.08586608847218,0.22806386066763423,2.5,19.3
2,645,5.988897674418604,10.104379825163086,-0.6795736434108527,2.9000000000000004,18.58
3,600,6.807343333333333,10.988012184497553,-1.5813866666666667,3.5,25.90999999999999
4,537,6.850588454376164,11.184115617650589,-1.912607076350093,3.4,24.639999999999993
5,408,6.194463235294117,10.374092528113616,-2.8866200980392156,3.1999999999999997,21.63
6,65,4.950415384615384,8.618643010269166,-1.0427230769230766,3.1,18.58
