label_key,horizon,n,mae,rmse,bias,p50,p95
althjodleg verdbolga,0,27,0.2518518518518518,0.30550504633038933,0.13333333333333336,0.19999999999999996,0.6000000000000001
althjodleg verdbolga,1,24,0.4458333333333333,0.6288216493304494,0.29583333333333334,0.20000000000000018,1.339999999999999
althjodleg verdbolga,2,22,0.7590909090909093,1.4056703350747255,0.14090909090909093,0.4,1.6799999999999997
althjodleg verdbolga,3,19,0.9263157894736843,1.5724603584661103,-0.0947368421052631,0.5,3.2699999999999942
althjodleg verdbolga,4,19,0.868421052631579,1.5260889123576817,-0.14210526315789465,0.5999999999999999,1.509999999999989
althjodleg verdbolga,5,16,1.81875,2.7768012172281975,-1.10625,0.8,6.0
althjodleg verdbolga,6,2,4.550000000000001,4.746050990033715,-4.550000000000001,4.550000000000001,5.765000000000001
atvinnuleysi,0,35,0.46285714285714274,0.65334305143404,0.3085714285714285,0.30000000000000027,1.5199999999999982
atvinnuleysi,1,32,0.846875,1.1312327346748767,0.23437499999999992,0.6500000000000001,2.6000000000000005
atvinnuleysi,2,30,1.0966666666666667,1.4005951116102995,0.2699999999999999,0.8499999999999999,2.5649999999999995
atvinnuleysi,3,28,1.0607142857142857,1.3536986370680884,0.2107142857142857,0.7999999999999998,2.5650000000000004
atvinnuleysi,4,25,1.092,1.2792185114357908,0.10799999999999997,0.9000000000000004,2.399999999999999
atvinnuleysi,5,19,0.8421052631578947,0.981406080446235,0.4105263157894738,0.7999999999999998,2.01
atvinnuleysi,6,3,0.4666666666666668,0.5033222956847168,0.4666666666666668,0.6000000000000001,0.6000000000000001
atvinnuvegafjarfesting,0,35,4.62,5.7151177965612785,-0.8542857142857143,3.9,10.029999999999992
atvinnuvegafjarfesting,1,32,9.612499999999999,11.576808713976405,2.05,8.25,20.384999999999998
atvinnuvegafjarfesting,2,30,10.51,12.124644324680208,-0.6899999999999997,12.2,17.509999999999998
atvinnuvegafjarfesting,3,28,15.117857142857144,18.72762474451655,-8.503571428571428,13.149999999999999,36.76499999999999
atvinnuvegafjarfesting,4,25,14.216,17.601568111960933,-6.24,14.500000000000002,30.219999999999988
atvinnuvegafjarfesting,5,19,9.573684210526316,12.477495531429458,-5.394736842105263,10.2,25.25999999999999
atvinnuvegafjarfesting,6,3,4.566666666666666,6.340609855000805,-4.166666666666667,2.4000000000000004,9.87
einkaneysla,0,35,0.582857142857143,1.4200603608901379,-0.2857142857142858,0.20000000000000018,1.699999999999997
einkaneysla,1,32,1.571875,2.216063514432743,-0.534375,1.2000000000000002,5.09
einkaneysla,2,30,1.8433333333333335,2.5570164906260056,-0.8433333333333335,1.35,5.919999999999999
einkaneysla,3,28,1.825,2.758040194465214,-1.1535714285714287,0.9,6.06
einkaneysla,4,25,1.7760000000000002,2.678507046845313,-1.224,0.8,6.019999999999999
einkaneysla,5,19,2.5684210526315794,3.4128241122350027,-2.073684210526316,1.8000000000000003,6.109999999999999
einkaneysla,6,3,5.133333333333334,5.280151512977634,-5.133333333333334,5.800000000000001,6.159999999999999
fjarfesting hins opinbera,0,35,6.691428571428571,9.46301069578659,-0.3199999999999999,4.1,21.15
fjarfesting hins opinbera,1,32,8.9375,11.064470163546016,-3.5875,7.0,21.845
fjarfesting hins opinbera,2,30,9.97,12.47759325083701,-2.8699999999999997,10.05,24.659999999999997
fjarfesting hins opinbera,3,28,12.257142857142856,14.54443929086695,-1.9428571428571426,11.55,26.754999999999995
fjarfesting hins opinbera,4,25,12.847999999999999,14.494357522843156,-1.8880000000000001,13.5,20.9
fjarfesting hins opinbera,5,19,12.031578947368422,14.775085715309299,-3.1578947368421053,14.7,23.43999999999998
fjarfesting hins opinbera,6,3,3.6333333333333333,3.657412564459561,3.6333333333333333,3.5,4.13
fjarfesting i ibudarhusnaedi,0,35,10.282857142857143,11.373741688644065,1.402857142857143,10.399999999999999,16.519999999999996
fjarfesting i ibudarhusnaedi,1,32,9.884375,11.923493091372174,5.340625,9.049999999999999,23.18
fjarfesting i ibudarhusnaedi,2,30,10.366666666666667,12.074187343254204,1.7866666666666668,10.7,19.265
fjarfesting i ibudarhusnaedi,3,28,10.503571428571428,11.838451274192439,0.2964285714285719,10.1,20.904999999999994
fjarfesting i ibudarhusnaedi,4,25,10.68,11.959431424612125,-2.2079999999999997,10.3,21.21999999999998
fjarfesting i ibudarhusnaedi,5,19,11.33157894736842,12.097868450790477,-2.342105263157894,10.3,18.719999999999995
fjarfesting i ibudarhusnaedi,6,3,10.733333333333333,11.371895180663598,0.4666666666666668,10.6,14.919999999999998
fjarmunamyndun,0,35,2.962857142857143,3.9874445808956755,-0.602857142857143,1.4999999999999982,7.39
fjarmunamyndun,1,32,5.94375,7.589507559782782,1.9562499999999996,5.5,13.825000000000001
fjarmunamyndun,2,30,6.78,7.601008704989972,-0.1600000000000001,5.8999999999999995,12.684999999999997
fjarmunamyndun,3,28,9.839285714285714,11.578721246937665,-5.617857142857143,9.45,19.895
fjarmunamyndun,4,25,8.6,10.646389059206882,-4.44,8.3,17.779999999999998
fjarmunamyndun,5,19,5.021052631578947,6.733263852342574,-3.642105263157895,3.7,13.49999999999999
fjarmunamyndun,6,3,2.9,2.9591665493288253,-1.366666666666667,2.7,3.6
gengisvisitala,0,35,1.2714285714285714,1.771601374060042,0.4028571428571429,0.8999999999999999,3.689999999999999
gengisvisitala,1,32,4.625,5.794825277780168,0.17500000000000004,4.2,10.99
gengisvisitala,2,30,5.373333333333333,6.571250515186081,0.98,3.8,11.155
gengisvisitala,3,28,5.785714285714286,7.014729401155013,1.25,3.9,11.1
gengisvisitala,4,25,5.747999999999999,6.96881625529042,1.244,3.9,11.059999999999999
gengisvisitala,5,19,4.536842105263158,5.983222156031067,2.7578947368421054,3.0,11.1
gengisvisitala,6,3,1.8666666666666665,2.2920151250228114,0.1333333333333333,2.6,2.96
hagvoxtur i helstu vidskiptalondum,0,35,5.194285714285714,9.131452708711171,1.0285714285714285,2.1999999999999957,21.389999999999993
hagvoxtur i helstu vidskiptalondum,1,32,4.5625,7.653185611234057,-1.9312500000000001,1.5499999999999998,16.674999999999997
hagvoxtur i helstu vidskiptalondum,2,30,3.65,5.44147651530967,-0.2966666666666668,2.05,13.919999999999998
hagvoxtur i helstu vidskiptalondum,3,28,3.4857142857142853,5.533534132902769,0.46428571428571425,2.3,14.989999999999998
hagvoxtur i helstu vidskiptalondum,4,25,3.988,6.657837486751986,0.9480000000000001,2.6,18.080000000000002
hagvoxtur i helstu vidskiptalondum,5,19,2.9842105263157896,6.027175300691291,1.1105263157894738,1.1,18.0
hagvoxtur i helstu vidskiptalondum,6,3,0.5,0.5196152422706632,0.5,0.6000000000000001,0.6000000000000001
innflutningur voru og thjonustu,0,35,3.3885714285714283,4.660349465743652,-0.37142857142857155,2.6999999999999993,9.779999999999992
innflutningur voru og thjonustu,1,32,7.121875,9.937224838957807,1.4718749999999998,5.65,25.88
innflutningur voru og thjonustu,2,30,9.446666666666665,11.501072413765016,-1.1266666666666667,8.0,22.03499999999998
innflutningur voru og thjonustu,3,28,11.74642857142857,13.654708763960198,-2.4107142857142856,10.8,25.759999999999998
innflutningur voru og thjonustu,4,25,10.767999999999999,12.765014688593194,-3.128,10.9,23.639999999999976
innflutningur voru og thjonustu,5,19,8.405263157894737,10.445220513658263,-6.773684210526315,8.2,17.44
innflutningur voru og thjonustu,6,3,7.099999999999999,10.127684829219358,-4.499999999999999,3.9,15.779999999999998
