pdf_name,label_key,year,value,type
spa_2017_november_vetur,verg landsframleidsla,2016,7.1,history
spa_2017_november_vetur,verg landsframleidsla,2017,7.8,forecast
spa_2017_november_vetur,verg landsframleidsla,2018,5.3,extrapolation
spa_2017_november_vetur,verg landsframleidsla,2019,3.6,extrapolation
spa_2017_november_vetur,verg landsframleidsla,2020,3.1,extrapolation
spa_2017_november_vetur,verg landsframleidsla,2021,2.9,extrapolation
spa_2017_november_vetur,verg landsframleidsla,2022,2.6,extrapolation
spa_2017_november_vetur,verg landsframleidsla,2023,2.5,extrapolation
spa_2017_november_vetur,samneysla,2016,1.9,history
spa_2017_november_vetur,samneysla,2017,2.2,forecast
spa_2017_november_vetur,samneysla,2018,1.3,extrapolation
spa_2017_november_vetur,samneysla,2019,1.3,extrapolation
spa_2017_november_vetur,samneysla,2020,1.7,extrapolation
spa_2017_november_vetur,samneysla,2021,1.8,extrapolation
spa_2017_november_vetur,samneysla,2022,1.8,extrapolation
spa_2017_november_vetur,samneysla,2023,1.8,extrapolation
spa_2017_november_vetur,fjarmunamyndun,2016,22.8,history
spa_2017_november_vetur,fjarmunamyndun,2017,8.8,forecast
spa_2017_november_vetur,fjarmunamyndun,2018,3.1,extrapolation
spa_2017_november_vetur,fjarmunamyndun,2019,2.9,extrapolation
spa_2017_november_vetur,fjarmunamyndun,2020,2.1,extrapolation
spa_2017_november_vetur,fjarmunamyndun,2021,3.6,extrapolation
spa_2017_november_vetur,fjarmunamyndun,2022,3.8,extrapolation
spa_2017_november_vetur,fjarmunamyndun,2023,3.9,extrapolation
spa_2017_november_vetur,atvinnuvegafjarfesting,2016,26.4,history
spa_2017_november_vetur,atvinnuvegafjarfesting,2017,5.6,forecast
spa_2017_november_vetur,atvinnuvegafjarfesting,2018,-0.9,extrapolation
spa_2017_november_vetur,atvinnuvegafjarfesting,2019,-0.7,extrapolation
spa_2017_november_vetur,atvinnuvegafjarfesting,2020,0.1,extrapolation
spa_2017_november_vetur,atvinnuvegafjarfesting,2021,3.0,extrapolation
spa_2017_november_vetur,atvinnuvegafjarfesting,2022,3.6,extrapolation
spa_2017_november_vetur,atvinnuvegafjarfesting,2023,4.2,extrapolation
spa_2017_november_vetur,fjarfesting i ibudarhusnaedi,2016,29.4,history
spa_2017_november_vetur,fjarfesting i ibudarhusnaedi,2017,26.0,forecast
spa_2017_november_vetur,fjarfesting i ibudarhusnaedi,2018,19.0,extrapolation
spa_2017_november_vetur,fjarfesting i ibudarhusnaedi,2019,13.2,extrapolation
spa_2017_november_vetur,fjarfesting i ibudarhusnaedi,2020,7.4,extrapolation
